status	path	detail
MISS	portal/assets/js/versions.js	expected=ef7d0d2095c0d2e434cf8ceae31a6919d361e8964561751cd38e0e386d48dbee:2226; got=c884c6e4e2fc5ab87d07df0f2dafbfef954a359fd1faee6926ac5454c6886a85:2284; MISMATCH
MISS	portal/catalog/crec/index.html	expected=80a2b80a38fe70e3725c974c7568e6055359a33a114e3d1badd940c79f0c8a5b:6592; got=bcb696d421c9797265d7ffbf5058e2eb66dbcd2236e2cdc584c8a147d4aa284d:6524; MISMATCH
MISS	portal/catalog/dom-svistka-3d/index.html	expected=f1d335d2fbd9ee2c8a7e7c79fd504605335390d4cdd954e2a5e03b9d1b7b8e4e:6886; got=7195aca74cfb441c27cffd72b44e5f5c39e66be201a83a13895b119552308d4d:6765; MISMATCH
MISS	portal/catalog/morskoy-boy/index.html	expected=dc37ce0d7558d6d1231f61ca486199d9471e6533d82e2bdf60a82c570a884c56:6880; got=3c0fffd5f4a76a135ee70034fa50aa88b5c273e26eff44f1946bdfd4f17a2deb:6962; MISMATCH
MISS	portal/catalog/tetris/index.html	expected=25e03e17e6b40465456e22380dad54009990298ce171eb8b0439df1b97da09bb:6117; got=256182f9732b802bb6a3bc9e65bedf8d907d16e1d6683107adfa9acefd288148:6204; MISMATCH
MISS	portal/data/architecture.json	expected=1c2d46b8ecbc8a5a0129b69bc8a83e92fe9db6d0175ff04cb53d6c76b38c41ad:796; got=5c6611c41ec4e27f6bcfe63d9d289db324d357023817d55e967fc21cd5e78b58:842; MISMATCH
MISS	portal/data/files-manifest.json	expected=65e593c0f99a7d475207a1eebb7bb05f4af5b4caac978b86b583508b717d186b:9288; got=23537357698a644068a4d25f1de45fc622db90fe6cbb873f6b23f50984f10196:9278; MISMATCH
MISS	portal/data/projects.json	expected=a90d4aeadd79fc0ee9ff8bebd06d850d93385a093be5110cc8cd8afbf6fc9f95:10661; got=863d2582438b7d9b4b4aa4f6ec3163f55ed2629202236dd94d6bbf8dd723a8b0:10424; MISMATCH
MISS	portal/data/releases.json	expected=80ca957256d6cf4967d5ebb42b84c7f469070679561acb2db1b1ef749c3c48a8:5107; got=1cec21755d34d80e7b7dcfdfab2896b2971a3d2b4184d50f4c462c9e8c06246f:4196; MISMATCH
MISS	portal/data/site.json	expected=03c4178d448c53949bee98c48272758f2d5f496224f4bc65e072ace313e9457c:1096; got=1a6c6fefbe485f26754081fa5df1b989d28844ed985c42e4c647a0b80959533d:479; MISMATCH
MISS	portal/data/updates.json	expected=192935732905dbfc12ce471839791719da8612be5191bcf860ffe4fc8cd954f7:11121; got=7d64a3831046ae21c3d0f3c4b1fef46fd5ca2574ff83c0381fa4a4330c536428:12374; MISMATCH
MISS	portal/downloads/crec/index.html	expected=ff9732b648d99559bab9ff30d8538837480952470ccb644d360e5071af5f06fc:3876; got=-:-; FETCH:HTTP Error 404: Not Found
MISS	portal/downloads/dom-svistka-3d/index.html	expected=127a2a3cb3486e417d4d60bc45bfb30dbc44924d563a643ea59a02562b19c551:3941; got=-:-; FETCH:HTTP Error 404: Not Found
MISS	portal/downloads/index.html	expected=cb80b5f196efbdbfe43076e5ae470311ec0f97090d9b9c836de8558a9c8ed726:3184; got=e7f36b05d86744702c71caf3f32fab859bdfe1eb6e61cbe2665fa58c1d126719:3003; MISMATCH
MISS	portal/downloads/morskoy-boy/index.html	expected=a8cb42fd88de5b919cca1fdeb85840d2fd65ceacd94202173ac3e28e029cae1b:3914; got=16cebfb0e1d2b2a2200ea4399cf224da30b671a674c9baea22183b0e5b013a78:3916; MISMATCH
MISS	portal/downloads/tetris/index.html	expected=538bdead10ce02a7a89a493be1a4712518b29ff50b8b0d796a5eb2a0765bc5db:3854; got=16592c35e2b80eaa4ee62b671e97721c44536aa17714663d2ca9bb23de90d9f2:3856; MISMATCH
MISS	portal/games/index.html	expected=129f73de1bb982c2fcdff9ba84e3f19c632492a8603cd2060236de03213ee4b9:3278; got=51800ef04c4361358d23ff7404e3a05a0133bfef86353f36ffcfe0c039358d4c:2780; MISMATCH
MISS	portal/index.html	expected=7ab50bc47b17d7f79306fc7024537fa76b38a0e8e204e4b9fb67ccf4b5c8c24b:5483; got=8744dc6629ec73c23fd574e2d1bcf59f7eba7d9be6466e911f9c0b6a32de18f7:6671; MISMATCH
MISS	portal/manifest.webmanifest	expected=5e24dda096e37610f1bf42730cff9a25f6e9f37b88b78c797473e8efe876be4b:1339; got=0f36843d00cc257876b6c3b10b48c93ad812949e298c2d3252d1a5e0d59d7e9f:1333; MISMATCH
MISS	portal/projects/index.html	expected=5748643165a7d48b26434c13c4a1748b9913c0a446c219813077a1422e3bcb36:5099; got=39596944008ed3074c38d43c2f302423347f5ac3d98880ba3d66ef697a89af01:3548; MISMATCH
MISS	portal/release.json	expected=1cc7b4115d4aef06a7e4b6968029bfcef86a91ba6b0d0108a12f959ddd6a53ef:1027; got=ae90108c150c0798e83b3f4a9dc49b124aaf777f7b2e216bb25f618b02482b43:894; MISMATCH
MISS	portal/sitemap.xml	expected=feefa1637ce8cbf02172f0dc48da00601babe907381bc4a11958202cb93cfd8f:1288; got=2fbed00501bd1c2ba4b7a5fc6bdd5e39f0bc6bf45a48ad0ae9defd917e31e58f:1146; MISMATCH
MISS	portal/updates/index.html	expected=298b2e89499213924b56629deaddb85fbdc1da9b1e80f62721c27b433adfbeda:3601; got=b5077618913baf3121b8f815795c4a5093babd69dd9f6b800a60e93eff909d87:3620; MISMATCH
